pre,term,post,business_id
"place a lot. I've been in for pinball but more often I go in for the homemade lemonade. It's SO good! The habanero, watermelon and ",basil, is the best! The last time I went in the service was poor from the woman behind the counter. Hopefully that's not going to be the,0MR1J0U8uOXtvZlHV-johQ
" ciabatta.  It was just fantastic.  Fresh local bread, roasted chicken, spring mix, roasted red peppers, red onion, roasted garlic ",basil, mayo and balsalmic......sooooo good.   I also had some kicked up tomato soup that I'm still stretching out and enjoying as I writ,0OkfU0vDBprsIEd5hWuhAQ
"got takeout from there 3 times, spicy ",basil," shrimp, pad thai, chicken satay. it was awesome the first two times, blah the third time. called to let the owner know because i really liked their food the first time, didn't seem to like my feedback.  i'll try them anot",0PCBt3JKD6IooicImKNBzA
"sit to Pittsburgh and I made sure to have their delicious food on the very first day :) we loved the spicy noodles, veg dumplings, ",basil, fried rice and red curry!!,0PCBt3JKD6IooicImKNBzA
My go-to dishes here are the spicy noodles (spice level 5) and the ,basil," entree dish with veggies (spice level 5).  For the most part, they are always consistently good.    On my most recent trip, I decided to venture away from my usuals and try out the Hang Lay cu",0PCBt3JKD6IooicImKNBzA
" spicy for the medium spice level. Not as fresh as I'd like today, but I've been here before when it was better. Had tofu eggplant ",basil, which a little oily. Place was packed for lunch and very LOUD. Table setting is very cramped. Would come back. Hopefully better n,0PCBt3JKD6IooicImKNBzA
"AY TOO MUCH SALT. We could easily see the potential in the cooking here. The food itself seemed fresh, but the great Thai flavors (",basil,", coconut, etc) were completely overwhelmed by salt. We would have loved to give this place at least 4-stars, and we think the foo",0PCBt3JKD6IooicImKNBzA
"e wrong! It was delicious! I tried the Chef Special the Gaprow Lad Kao. It was a dish served on a bed of rice with ground chicken, ",basil,", spices, red pepper, and an over easy egg on top with a yolk so tender that as soon as you touched it, the ooze would coat the di",0PCBt3JKD6IooicImKNBzA
"your boss, colleagues or wife, the fast service is nice. Time is of the essense after all in coroprate America. I ordered the beef ",basil, at a 6 level of spicy. I do wish thai places had a standard here in regards to spice because F me I was sweating!!! Yet it was st,0PCBt3JKD6IooicImKNBzA
"special (not good at all), Thai iced tea (decent), Tamarind Tofu (delicious but even with a high spice level, was still sweet) and ",Basil," Fried Rice (good quantity). Overall, atmosphere was great and staff was friendly and portions were large. They were not accommoda",0PCBt3JKD6IooicImKNBzA
In town on business and this place was recommended. Did not disappoint!!  Had Thom Ku soup and ,Basil," Chicken. Spiced perfectly to my request, servings were large, and service attentive. Good vibe in the place. Highly recommend!",0PCBt3JKD6IooicImKNBzA
I got the ,Basil," Duck and a Thai Ice Tea. The tea was watery, and the duck had been breaded and fried, and was coated in a thick sauce, and basically could have been any kind of meat. Perfectly edible, but not really a $25 quality meal.  On the other hand, service w",0PCBt3JKD6IooicImKNBzA
s ethnic background.    The menu here is fairly simple with some basic but creative dishes.  My favorite by far has been the spicy ,basil, fried rice with chicken.  It is spot on with some vegetables and rice as well as having a good amount of kick to it.  If you aren,0PCBt3JKD6IooicImKNBzA
".. which was cool and impressed me.  I'm a wimp and can't do super spicy, and they accommodated that easily. My date had the spicy ",basil," fried rice, which was good, yet too hot for this girl. He loved it though. The atmosphere was comfortable, employees nice, defini",0PCBt3JKD6IooicImKNBzA
  Tiger Spicy Beef was nothing special for an appetizer. Beef was actually really good tho.   Pad Thai was great with beef.  Spicy ,Basil," rice was amazing.  Tom Yum Soup was good, but I didn't like it with the chicken as it was dry. Try getting it with beef or seafoo",0PCBt3JKD6IooicImKNBzA
"if you like spicy flavors this place is for you. This dish includes beef, garlic, bell peppers, green beans, carrots, onions, thai ",basil," and an incredible spicy chili sauce with rice on the side. i have also gotten the Spicy green beans, Spicy peanut, Jalepeno, and ",0PCBt3JKD6IooicImKNBzA
"the flavor profiles (especially the spice) here.   Personally, I like to order the shrimp toasts as an app. Then I like to get the ",basil, bok choy tofu. Spicy #7.  Perfect amount of spice. Delicious amounts of flavor bursts.  I will say that I took 1 star off for tak,0PCBt3JKD6IooicImKNBzA
Pretty delicious! I ordered takeout while in town for a convention - tofu ,basil," and spring rolls. Though I ordered by entrée medium spicy, it had basically negative amounts of spicy - I detected no heat whatsoever, which is usually important to me in a thai dish! S",0PCBt3JKD6IooicImKNBzA
" we decided to hold off.   What we did get was really good. I was unfortunately not at my hungriest, so we shared the Chicken Thai ",Basil., Full of really fresh veggies and surprisingly spicy since my husband usually likes it pretty mild. I forget what number he reques,0PCBt3JKD6IooicImKNBzA
"d on the food! There are so many options, that we took a lot of time to decide. For appetizers, we ordered the Chicken Wings (with ",basil," sauce). It was incredible. What we loved was that it came with a lots of side salad, and had a nice flavor to it. We were curious",0PCBt3JKD6IooicImKNBzA
"ntion center that was quite a nice break from what I typically associate with convention centers, a sea of chain restaurants.  The ",basil, chicken and red curry noodle were good.  They have plenty of classic thai dishes and large portion sizes!  Price point was very r,0PCBt3JKD6IooicImKNBzA
" in BUN dishes), with just a splash of pepper - awesome.  For entrees, we ordered one of their new specials, Coconut Curry Scallop ",Basil.,"  It was AMAZING; see picture for evidence.  It contains scallops and eggs in a delicious sauce inside of a coconut shell, which w",0PCBt3JKD6IooicImKNBzA
"usband's with beef). The noodles are wide but thing, perfectly cooked with napa cabbage (those big chunks of cabbage) in the spicy ",basil," sauce.  And remember: Nicky's is *real* Thai spicy. So what you might be accustomed to ordering as a medium, is actually a mild h",0PCBt3JKD6IooicImKNBzA
ittsburgh.  Vegetables in the dishes were cooked perfectly as in they were still crispy and bursting with flavor.  I had the Spicy ,Basil, Fish and the sauce was delicious.  Portions are also pretty large and quality of ingredients used is high.   I was furthermore im,0PCBt3JKD6IooicImKNBzA
"rness, and sauces that burst with flavors full of spices and herbs, sweetness and spiciness. Garlic chilies, coconut, ginger, thai ",basil,", and countless other flavors permeate every bite, making each subsequent taste both irresistible and enthralling.  I have gotten ",0PCBt3JKD6IooicImKNBzA
" was worth the wait. It took another 30 minutes to get our check.   I did order a drink. It was strong, but it wasn't too tasty. A ",basil, Hendricks with gin. Ugh. Don't get that if you want a fruity drink. Lol. But I drank it because I'm a lush!,0PCBt3JKD6IooicImKNBzA
"antly really flavorful food. Started off with Thai iced tea that was a nice refreshing drink. For dinner, I ordered the spicy thai ",basil, fried rice with tofu spice level of 5. The tofu was nice and crispy and the fried rice had nice hints of garlic. Had the mango st,0PCBt3JKD6IooicImKNBzA
