pre,term,post,business_id
"Huge beer selection!  If you can't find something here, you won't find it anywhere!  A friend of mine got a beer ",cocktail,", which was pretty good.  Bottles were pricy for a basic import though.  I would go back for more special occasions, but not my everyday hang out f",04kZ5CSh6oKhI5huU5bLdg
"ll caution, if you like cheap beer.... do not come here. .. they don't have it & the beer prices are on par with prices of a fancy ",cocktail., ... with this said. .. please don't bitch about it loudly & annoy fellow guests. I hear this about every time I've dined here & i,04kZ5CSh6oKhI5huU5bLdg
"t okay and my entrée was only $12, I found this to be a little disproportionate.  I would not recommend ordering one of their beer ",cocktails,"; however, I would still recommend the restaurant to anyone looking for a nice spot to eat good food and catch up with friends.",04kZ5CSh6oKhI5huU5bLdg
"d saw the sign that it was coming soon.  Finally, a place downtown for happy hour that is a little more relaxed and not focused on ",cocktails," or wine!   I LOVE beer, and I love the Friendship location so I went to lunch on the first day that it opened, sadly sans beer si",04kZ5CSh6oKhI5huU5bLdg
"n no doubt get a little jammed  by the front door during events, but that's why you get here a little early to relax and have some ",cocktails, served up by the Smutz. So get your ass away from the front door and head the upstairs. Or to the back..the joint has space to ro,0EcCWB9_VxTOoAh_1Wr_RQ
"ey have a real Canadian in the kitchen! Make sure you try The Blue Lemieux, my special lady friend loved it! I had two Consigliere ",cocktails,", Makers Mark with Grand Mariner plus simple syrup. It is a man drink made to perfection! TVs, TVs,TVs everywhere!",0EcCWB9_VxTOoAh_1Wr_RQ
"f them as I love mushrooms.   The kicker is we only ate there, only water at the show and we ended up not feeling so well. Fun for ",cocktails, but I don't recommend the food... at all! Kinda sad the place is nice and has a lot of potential.,0EcCWB9_VxTOoAh_1Wr_RQ
 establishment. I would also hope they're applying for some sort of liquor license as this place definitely needs to start serving ,cocktails, and beer. All-in-all I would give this place a 2.5 but there is definitely potential!  Quick Tip: Buy your booze ahead of time as,0MR1J0U8uOXtvZlHV-johQ
" 5-6pm? Maybe it had something to do with the storm. In any case, we had a great time.   I actually wanna come back here for their ",cocktails,", they look really interesting and delicious. We had already made plans to go out to a bar after dinner though so we decided to ho",0PCBt3JKD6IooicImKNBzA
Really enjoyed their menu selections and yummy ,cocktails,", but service was a slow and forgetful.",0VDcJitRHh5uJnkjymu_6A
" Was expecting something a little more upscale - not a fan of all the high top tables or the loud hip hop music. Service was good, ",cocktails," were good, sushi was just OK.",17DImn_vPnuwU9hhRFXlUA
"it was our first time there. My date ordered the ginger ginger cocktail and I ordered the ""pure dawn"" sake. Both were good but the ",cocktail, was pretty bitter - a good palate cleanser but definitely a sipping drink.  For an appetizer we ordered the grilled octopus balls,17DImn_vPnuwU9hhRFXlUA
"ce per our waitress's suggestion and he also really liked it), a sushi hand roll (salmon), and the fried oyster dish.  I tried the ",cocktail, similar to a Moscow mule and Bobby tried the pop-rock cocktail and we both had shots of the hibiscus infused sake.  Everything wa,17DImn_vPnuwU9hhRFXlUA
"ared like a disassembled unagi sushi roll, with the roasted eel, nori, and rice in patty form laid out artfully on the plate.  The ",cocktails," were pure fun, with names like Godzilla Tears, Panda Panda Panda, and my favorite: Fizzy Lifting Drink! (the Willy Wonka referenc",17DImn_vPnuwU9hhRFXlUA
"re more crab and less unidentified creamy saucy stuff.  Since it WAS a Bachelorette party, we decided to order the most ridiculous ",cocktails," on the menu. I had something called ""Gone Fishing"" which was bright green, had gummy fish floating in it, and tasted just like th",1FDhJNAuPXRGbMi9x0muGA
Love the ambience! N love their mojito!! The food wasn't upto my liking. But ,cocktails, n ambience make it worth it!,1HfkEkNhI6XJXkgrCTBKpw
"What a great stop for happy hour! Their appetizers are half off, and craft beers and cocktails are $2 off during that time, so my f",riends an,"d I stopped! We each had two great cocktails, but our favorite was the gin basil smash. It was refreshing and had great flavor! W",1HfkEkNhI6XJXkgrCTBKpw
"lso ordered a carafe of mimosas, which were decent - they could have been a little stronger IMHO. They have a whole menu of brunch ",cocktails, if you are in the mood to imbibe. The food was pretty stellar - lots of hearty brunch options. I ordered the chicken on a biscuit,1HfkEkNhI6XJXkgrCTBKpw
"One of my favorite places, however as a vegan my menu items are very limited. Wide variety of beer and ",cocktails., On the pricier side for Southside dining.,1HfkEkNhI6XJXkgrCTBKpw
"best I've tried in the city. The fries are also satisfying, and they come with 3 or 4 great dips. Great beer selection, and a good ",cocktail," selection. Overall, solid place to drink and eat, and the price is right for a casual weeknight.  On the other hand, late nights ",1M6tA3TqxcpptHW0_hP9Kw
 evening drinking spot for the hip crowd. A little expensive for Pittsburgh. Amazing french fries. Friendly bar staff. Interesting ,cocktails, and a wide selection of brews. Nice big projector screen for weird movies and (sigh) sports when the PGH teams are on. Haven't be,1M6tA3TqxcpptHW0_hP9Kw
"d.   Every time i attempt to go here again and relive the love I once had for it, I am disappointed.   They do have very delicious ",cocktails,", however, Brian is the best!",1M6tA3TqxcpptHW0_hP9Kw
Yay! Found another place in Pittsburgh with GREAT ,cocktails,! I loved the Veggie burger too! I will go here many many times in the future :),1M6tA3TqxcpptHW0_hP9Kw
A nice place to go and have a drink or a bite to eat.  They have a selection of different ,cocktails.,"  They have a garage type door that they open up when its warm out, I thought that was nice.  There's an upstairs where bands can play.  They don't serve wine",1M6tA3TqxcpptHW0_hP9Kw
"Grilled cheese. Cocktails. Great atmosphere, ambiance, and service. How can I not adore The Yard? I got to eat here for the first t",ime a co,"uple days ago, and it was incredible. There were sooooo many tempting things on The Yard's menu - but as great as their flatbreads,",1RECFIhw6tdiP4l3smu6Kw
come back and try some other dishes because I'm not sure exactly how good this place is yet.    I started with a really good house ,cocktail,.  They make a manhattan that tastes like it met a camp fire.  Smokey and a little sweet.  Very tasty.  I had the brussels sprouts ,23gakZ_NlN3K0SqOBybwug
ne with that disclaimer we can move onto the review of the food.  It's a small place so things could get cozy. DW had the Lavender ,cocktail, while I opted for the Corpse raiser. The drinks were OK - I've had better for $10 / $11 a pop. For appetizers we ordered the Fala,23gakZ_NlN3K0SqOBybwug
"es like ""good."" Literally said ""We can't make that"".. it's a fucking old fashioned and you served me a sazarac moments later. What ",cocktails," they did serve were risk-less, simple, and sweet.  Mixed-quality food was largely in need of better spicing. The mushy dates had ",23gakZ_NlN3K0SqOBybwug
5 stars there.  I got there early and hung out for a while.  It's a little bar - just a few stools.  The bartender was great.  The ,cocktail," menu really isn't my style, but it didn't matter because before I really even looked at it, the bartender told me that if I didn'",23gakZ_NlN3K0SqOBybwug
"I went here last night with a friend and I was super impressed!  We had amazing cocktails, which were modestly priced for a craft ",cocktail, at $9.  My friend had the soup and I had the beet salad to start - both delicious!  We both got the vegan meatloaf for our main e,23gakZ_NlN3K0SqOBybwug
t with a real wood-burning fireplace.  If you have a little extra time before dinner it would be a great place to relax and have a ,cocktail.,  Everything was very good.  The appetizers were large so we didn't have enough room for dessert.  Nothing on the menu is particul,24ZF_CY04CplqUaOu7U_aQ
"usted me, but I soon came to find everything was sticky from the floors to the bar and most likely the other patrons.  I ordered a ",cocktail,", the Gold Fashioned, a play on an Old Fashioned.  It was ok, would have been nice to have a little more bourbon and a little less",2dNjePYVp2AVei4ZoSDaaA
"re having a jolly time.  Goldmark has kept the wooden bar and original tile, but painted trendy murals on the walls and added some ",cocktail," tables. Surprisingly, there is a lot more room than you'd expect looking at it from the outside. I like that they have a Beer + S",2dNjePYVp2AVei4ZoSDaaA
"Some friends and I came here for cocktails during their Thursday happy hour, and right off the bat I was impressed with the venue a",nd atmosp,"here.  I was greeted with a large, elegant dining room and relaxed lounge area adjacent to it, with a very skilled guitarist play",2p_xWNAGm_5sVvr_Vs6mlw
he best. We added the balsamic reduction with goat cheese to the filet and it was amazing. The meat was also cooked perfectly. The ,cocktails, were delicious and unique.   The service and ambiance were also excellent. The chef and owner both stopped by our table which was,2p_xWNAGm_5sVvr_Vs6mlw
oms and spinach with a side of linguini.  It was awesome!   They had a great wine menu with plenty by the glass to offer and their ,cocktails, looked delicious as well.  Can't wait to go back and try their olive oil cake!,2p_xWNAGm_5sVvr_Vs6mlw
" food is fresh, high quality and very creative.  We went  the first weekend they were open for my wife's  birthday.  We ordered  2 ",cocktails, which were excellently crafted. The tomato pierogies were unique and light. The small plate duck fried spiced nuts were delicious,2VRVAhzefxIqjzbQ21LdHg
ches and everyone enjoyed their food.  I would recommend it and I will be stopping there again prior to games for a another Harlow ,cocktail,.,2VRVAhzefxIqjzbQ21LdHg
"d prefer to have my first glass of water poured by server while greeting the table, draft beers have a great selection. Didn't try ",cocktails, although will definitely be returning to try them. From the view i had at my table looks to me like it would be a HOT SPOT during,2VRVAhzefxIqjzbQ21LdHg
"Awesome new spot...a few kinks with the service during the first week, but food and ",cocktails," have been on point. I've been a few more times, and everything has come together nicely. Definitely recommend. I love the duck-fried nuts and the seared scallops. The wings we",2VRVAhzefxIqjzbQ21LdHg
"t keeps revealing more of its awesome atmosphere. For such a large place, it feels quite intimate. Rotating beers on tap, wine and ",cocktail, menu.  I ordered a Bloody Mary** which was mixed very well and my friend ordered a glass of wine. Nice selections to choose on th,2VRVAhzefxIqjzbQ21LdHg
Michael's is such a great go-to option in the Southside. There are so many trendy restaurants with craft ,cocktails," and huge draft lists, and those are great! But when you want something that will without a doubt be quick, delicious, and affordable, you can always rely ",38aN0fB_zHtkw1kb3lSj8g
"t food but not too rich.  The upside to the wait is a huge bar area downstairs, so make sure you bring enough wine to last through ",cocktails, and dinner!,3cbsPfoUUrysf-M8FI_0IA
"itely come here again for breakfast, brunch, or lunch any day. It would be even better if they could serve Bloody Mary's and other ",cocktails,...but I'm content with their selection of healthy shakes and smoothies that are made with vegan protein powder and whole fruits.,3GuqcEYaF1d1WXcwOX5xPw
Very good beer selections along with liquor/ ,cocktail.,  Like the flight options.   Will come back again when in town.  Good job.,3H1I31BQeHO017Sg92Cbow
"If ever there is a magical place where delicious food, flavorful ",cocktails,", delightful and friendly service existed, my friends, this is it. I will continue to return time after time. You can't go wrong here.",3H1I31BQeHO017Sg92Cbow
any be one of my favorite bars/restaurants in Pittsburgh when beer (damned gluten) is verboten to me? Because the expertly crafted ,cocktails," and creative, well thought out food in this warm, comfortable and friendly spot makes for a perfect evening, that's why.  Let's s",3H1I31BQeHO017Sg92Cbow
"ups, boozy cotton candy, molecular creations of spheres and foams and such are only the icing on the cake of the expertly prepared ",cocktail," before you. Try the London Fog to experience one of his best!  Besides Adam, there's a constantly rotating bevy of the best barte",3H1I31BQeHO017Sg92Cbow
" rubbing alcohol quality booze, that are overly sweet, and come in a pint glass. Deal with it Pittsburghers. A good bar means good ",cocktails,", and not just good cocktails, but inventive cocktails made with only the best ingredients. The resident Saturday night bartender,",3H1I31BQeHO017Sg92Cbow
" The service was crisp and responsive -- friendly, but not intrusive. But that's not why you're here. You're here for the creative ",cocktails," and refined wine list, to be followed by excellently executed dishes off the regular or daily menu. Each dish at our table, from ",3RWJGTSIRvGmIbwvMqAOuw
 date night so I wanted to have a lovely evening with my wife....very cozy.  Service was prompt and non-intrusive.  Our pre-dinner ,cocktails," were delicious and on point.  We ordered the chopped tomato salad that felt like someone's mother prepared it (loved it, thank yo",3RWJGTSIRvGmIbwvMqAOuw
lain the texture. All sauces were on point as well.  My mouth is watering just thinking about the food.  I also tried the fujiyama ,cocktail," which is vodka, pina colada and banana.  The glass was small, so I probably could've had 2 or 3 since it tasted good. Haha.  The ",3_tWe-D5if9y8RrmMrN7AQ
The food and custom ,cocktails, are excellent and the cosy atmosphere with the help of friendly staff keeps me coming back.,3zk3cCB58m122cQI_LnvIA
rafts menu was ample enough with choices we didn't have to look anywhere else even though happy hour also takes $1 off the regular ,cocktails.,  Here's what we ordered and liked / disliked: Billy Goat's Gruff - Two roasted peppers that were roasted to the extent of it bein,4c19YWOjPmbFUK4-V2GEvg
"t the portions are large.  For example, The Woman in White (risotto) could easily feed two.  And, yes, all of the menu options and ",cocktail,s are named for books.  The signature cocktails are more of simple twists on classics--Where the Red Fern Grows is just a cosmo wit,4c19YWOjPmbFUK4-V2GEvg
"a lot of dudes wearing too much cologne, and chicks with crunchy hair. The tenders a tad stingy, particularly with drink-and-mixer ",cocktails.," Upstairs, however, is more boheme. The pool table area has its own small bar, as does a hidden patio. My favorite room is the lar",4c19YWOjPmbFUK4-V2GEvg
"onal. Tommy and Llama run the bar, and they know their stuff. Just don't ask Tommy how he feels about Big Ben or the Steelers. The ",cocktail," waitresses are cute, funny, attentive, and know their beers.   In terms of entertainment, there are plenty of HD-TV's around alwa",4CXnWcTTgwBkkcQT6_6ppA
ould do something to make better use of the upstairs space.  Don't expect the bartenders to know how to make any sort of specialty ,cocktail," unless there's beer involved.  I'm obsessed with the Haystack: half Hoegaarden, half Framboise.  One thing that's a little backwa",4CXnWcTTgwBkkcQT6_6ppA
"ngs are way spicy, even the mild Fish  is bland. Add lemon Tarter is as bland as the fish   Fries are ok, disappointing   Love the ",cocktail," sauce, it has lots of horseradish in it  I've never complained about too large of a serving  The wedge salad was a WHOLE head of ",4ggOHxvlxnF0a00hDDVbnQ
ned; crab cakes with their special spicy sauce on the side; piles of ribs; melt in your mouth t-bone steak; freshly squeezed fruit ,cocktail,...  I was worried because of a poor review but went there because my friends raved about this place. I don't regret taking my hus,4hJHSMKyKJRl50k9EM6jkA
"ormer cook.  This place probably is more of a winter restaurant, but  deserves your business in the summer if for nothing less the ",cocktails," served with fresh squeezed orange, grapefruit, etc.  The food is pretty good but a little uneven.  The pulled pork quesadillas ar",4hJHSMKyKJRl50k9EM6jkA
"o myself.  After finding our parking spot and being seated, I was ready to order rather quickly.  On the menu:  Potato Soup Shrimp ",cocktail," Filet Mignon (12oz, medium-rare) with green beans and cheddar-bacon-smashed potatoes Iced Tea with Lemon and Water  We received t",4hJHSMKyKJRl50k9EM6jkA
"ob of matching its menu to things it can do well.  On a visit earlier this week, they were out of coffee, out of guacamole, served ",cocktail," sauce, not ketchup, with deep fried onion rings, and smothered their wings with overpowering barbecue sauce.  The only saving gra",4tJiL2mHKO-erM6xoZji9Q
So my boyfriend and I stopped in on a whim and had two cocktails that were ok. They weren't horrible but they weren't perfect eithe,r. We wer,e with friends that ordered different cocktails and they absolutely disliked them. It wasn't really that busy but maybe the barte,4VIAadQ0yZGss1vNHWUk9g
"Great drinks, friendly service, and awesome atmosphere. It's great to have an option for affordable food and cocktails in lower Law",renceville,". Since we live nearby, my boyfriend and I frequent this place several times a week and are always welcomed. The bar staff know ",4VIAadQ0yZGss1vNHWUk9g
"e. The bartender overheard us and said ""yeah that's definitely the whiskey one!"" I'm one of those girls that enjoys a good whiskey ",cocktail, and I was a bit disappointed in our chosen drinks. We both were a bit dissatisfied and decided to move onward down the road.   I ,4VIAadQ0yZGss1vNHWUk9g
"and locally, it was very good with some sweetness and a little spice flavor.  Definitely a good place for a sandwich and a beer or ",cocktail.," The service was fast and super friendly, too.",4VIAadQ0yZGss1vNHWUk9g
"y favorite as everything was pickled. Tasty nonetheless. The cocktails were nice and top shelf,  which I appreciate. Tuesday is $6 ",cocktail," night as well on select varieties.   Next up, on the waitresses recommendation,  we each tried a chicken dish.  I had the Nashvil",50UjA4nDdqypN-hBUOAPmQ
"sumed that it referred to all of the cocktails on the menu, so I mentioned the special to our waitress.  She clarified that the $6 ",cocktail,"s are special and off menu, however, and vary by the week.  This week, our choices were a cocktail called a ragtime, which tasted r",50UjA4nDdqypN-hBUOAPmQ
"omplaints about any of the food here.  Lastly, I am glad that the Thai Place has a liquor license. I have never tried any of their ",cocktails,", but I always order a glass of wine. I am happy they have variety in their wine choices, even if not a ton of variety.  The servi",58oVEzvF6EnOmvVkXYFkTg
s with lots of tomato and onion and the portion was really large.  One thing I got from it was that it was most likely yesterday's ,cocktail," shrimp and precooked flaked white fish by the texture of it.  My tortilla soup was quite a large portion, maybe 10oz or more by t",5eKk8dA1QtKaQr_5i_SCRw
lanned on getting a nice latte.. you know large coffee cups with art in the whip cream.. but then we remembered Beehive had coffee ,cocktails, (and spiked milkshakes)   Bobby ordered a traditional Irish Creme. You get to choose if you want well whisky or brand. (only a do,5h7ra0kJKswSZEzbFSIpaw
"Coffee and booze? Certainly not a common combination, but they are pretty creative when it comes to it. Didn't get any of the ",cocktails," this time, though we had a couple of lattes instead. I love how they have so many different syrup flavor options available. We had a ",5h7ra0kJKswSZEzbFSIpaw
"rinks: The beer list was disappointing- a reasonable mix of types but they didn't have many craft or local beers. Aside from that, ",cocktails," were rather reasonably priced. And on Thursdays, 1/2 off sangria pitchers with some of the best sangria I've had in the city for ",5idHlOd78PQH93RWIM6KYA
", the patio is really nice, and half price happy hour is awesome. They have a decent mix of draft beers and some really good house ",cocktails., Plus Thursday is sangria night!,5idHlOd78PQH93RWIM6KYA
"e the food never disappoints me. From burgers, to fried pickles, wings, and even the salads the food tastes extraordinary.   Their ",cocktails," are delicious too, but a bit pricy, so I usually only enjoy one and then get a classic mixed drink. The crowd that goes is usuall",5idHlOd78PQH93RWIM6KYA
"Only had drinks, but got to try three different kinds of ",cocktails," and a beer. My favorite was the Seasonal Moscow Mule. It had spiced apple cider, vodka, lime juice, and ginger beer -- the perfect combination! The food looked good, so I plan to go back. My only compla",5idHlOd78PQH93RWIM6KYA
