pre,term,post,business_id
"rinks. The burgers were pretty good and fries were good too- but a little ""potato-y"" for my liking. They were served with a garlic ",lemon," Rosemary aioli for dipping. I personally did not care for this, but my husband loved it. Later, we ordered the O.T.E mussels with",04kZ5CSh6oKhI5huU5bLdg
"and the server brought us bread. The bread was good, and my girlfriend liked her salad with raspberry vinaigrette. I opted for the ",lemon," vinaigrette, and it honestly tasted like someone just squeezed a lemon wedge over it. Very flavorless and boring. It occurred to ",09E4gjiUN_nSqaTprCLD9A
"rvice wasn't super quick, but it was okay. I had the ahi tuna tower, and really enjoyed it. Although I would have liked a bit more ",lemon,", and the wasabi aioli was much more mayo flavored than wasabi, I still really liked it. The wonton chips were perfect, making it ",0EcCWB9_VxTOoAh_1Wr_RQ
" worried me, but it was still early, I hoped.  The waitress was nice and efficient, refilling our lemonades constantly and finding ",lemons, for me which is a staple in buffets in Michigan.  The food area was clean and I saw a woman consistently wiping the counters whic,0It4d0eFPJ5UnQqe6g2Z3w
"rm I'd like to forget, and the reality is more like nausea.  Their greek soup (tasted like Campbell's chicken noodle flavored with ",lemon,) and nasty lamb gyro douched with cucumber dressing will likely haunt me as long as I live.  For anyone looking for a good nostal,0PVxodALQu-soL5J8bjerQ
"the steak comes right off of the grill and onto your plate, along with the fries. The soups are also delicious, although the Greek ",Lemon," Soup is a bit sweet. I love their Navy Bean and Beef Barley soups, can't get enough of them. For lunch or dinner they have good c",0PVxodALQu-soL5J8bjerQ
" different Greek foods like Gyros and grape leaves and things. I've had the gyro and it's not bad, but if you go and they have the ",lemon," chicken soup on special, GET IT! I loved it. Never would have thought it, but I did.  I've never had a problem with the staff. So",0PVxodALQu-soL5J8bjerQ
"   We ordered the fried chicken to start with, and it had a nice taste to it, and seemed to be freshly made. Adding a few drops of ",lemon," juice on it made it seem more flavorful. Then the sushi came out and it was delicious! We tried the Avocado roll, Salmon roll and",10NSeX03xC2th8-HGFq3sw
"I wish I would have found this place sooner! We ordered soups, salads, sushi, fried rice and ",lemon, chicken! All were great! When you are seated they give you cucumbered in a very yummy dressing and the fried chips with cold duck sauce also very good! I have ate foo,15RvAvPxUBl3HmnGMJdtTQ
"stirred a few in which complimented the drink throughout the meal.   The  Fairy Tail with cava, sweet potato shochu, beet, ginger, ",lemon,", cardamom bitters was refreshing and visually striking with the beet garnish.",17DImn_vPnuwU9hhRFXlUA
just as delicious and fresh. I personally LOVE the white tuna and yellowtail. :) The nigiri pieces are always served with a little ,lemon," wedge that they cut into a snail shape, which is beyond adorable. The whole ambiance is authentic, from the outside of the restau",1_Dg-GguWatioW4mvFQKQA
" to talk about sick, that was my drink. I can't remember the name but I remember exactly what it was: Landshark beer with tequila, ",lemon," and hot sauce. The waiter joked saying, ""It might be too SPICY for you!"" It wasn't too spicy for me. It was just disgusting tasti",1FDhJNAuPXRGbMi9x0muGA
"s excellent! Loved every single ingredient (warm chevre, spinach, candied pecans, shaved carrots, roasted beet, crisp pancetta and ",lemon," vinegarette). Plus, with a $10.50 price tag, it didn't break the bank and it was a good size. I choose not to add chicken or salm",1HfkEkNhI6XJXkgrCTBKpw
der is a Pittsburgh original.  I love the meatball sub for $2.29 and the vat of olives for $3.99 lb.  They have the best prices on ,lemons, and Nutella.  I buy bread and fresh cheese here as well as fresh pasta.  I have never seen the staff serve off the floor but you ,1MQQZ2kTiBbN3_hpmGdavw
"a single Bloody Mary.  It was so plain! I was disappointed beyond belief. They used Tabasco Bloody Mary mix, vodka, old bay rim, a ",lemon, and a lime. Literally poured the mix out of the bottle into my glass. No love in the mix at all!! There are so many amazing resta,1RECFIhw6tdiP4l3smu6Kw
"ther Yelper's suggestions on what to eat.   Sadako chicken - sauteed (fried?) crispy chicken with spices, onion and cilantro, tart ",lemon., A great appetizer or even light entree.   Pan fried Momo - more traditional dumplings steamed then browned. Great spicy dipping s,1Vbt1GsmtQm2dkC4A2L_-g
"ontrast.  It's definitely on the spicy end of the spectrum, but the heat was offset nicely by fresh cilantro, sliced tomatoes, and ",lemon," wedges. Light, flavorful, and fresh. One of the best dishes I've had in quite some time.   Also enjoyed the vegetable momos. Pill",1Vbt1GsmtQm2dkC4A2L_-g
"urate assessment. First we had the Sadako chicken, which was crispy and flavorful pieces of chicken tossed with onions, herbs, and ",lemon., I chose it based on Yelp recommendations and did not regret it. Even after the entrees arrived we still worked to finish the dish,1Vbt1GsmtQm2dkC4A2L_-g
" have had in Pittsburgh. It consisted of well-seasoned semi-fried chicken with raw onions, garlic, cilantro and tomatoes cooked w/ ",lemon.," Vegetable Momos - Again, amazing. Doughy skin stuffed w/ vegetable filling. The sauce that comes w/ it is unique and really tasty",1Vbt1GsmtQm2dkC4A2L_-g
"e it with sauteed potatoes & it was AWESOME !  it's full of good stuff (sauteed cabbage, cilantro, carrot, tomato, chives, onions, ",lemon," wedges, & the TASTIEST spices!)  for those that don't like a lot of onions (because these are only slightly sauteed so they're st",1Vbt1GsmtQm2dkC4A2L_-g
